Fajl;Linija;OrigLiteral;Zamena;Napomena
modSetup.bas;95;"""Setup je završen, ali postoje stavke za proveru:""";"Poruka(""SETUP_MSG_SETUP_ZAVRSEN_ALI"")";"CONCAT: MsgBox ""Setup je završen, ali postoje stavke za proveru:"" & vbCrLf & vbCrLf & report, vbExclamation,"
modSetup.bas;104;"""Greška tokom setup-a: """;"Poruka(""SETUP_ERR_GRESKA_TOKOM_SETUP"")";"CONCAT: MsgBox ""Greška tokom setup-a: "" & Err.description, vbCritical, APP_NAME"
modSetup.bas;129;"""Health-check je prošao. Racunar je podešen.""";"Poruka(""SETUP_MSG_HEALTH_CHECK_PROSAO"")";        MsgBox
modSetup.bas;132;"""Health-check je našao stavke za proveru:""";"Poruka(""SETUP_MSG_HEALTH_CHECK_NASAO"")";"CONCAT: MsgBox ""Health-check je našao stavke za proveru:"" & vbCrLf & vbCrLf & report, vbExclamation, APP_NAM"
modSetup.bas;140;"""Greška tokom health-check-a: """;"Poruka(""SETUP_ERR_GRESKA_TOKOM_HEALTH"")";"CONCAT: MsgBox ""Greška tokom health-check-a: "" & Err.description, vbCritical, APP_NAME"
modSetup.bas;187;"""Aplikacija radi lokalno — Google/PWA se ne koristi niti proverava.""";"Poruka(""SETUP_MSG_APLIKACIJA_RADI_LOKALNO"")";"CONCAT: MsgBox ""Desktop-only mod je ukljucen."" & vbCrLf & vbCrLf & ""Aplikacija radi lokalno — Google/PWA se "
modSetup.bas;244;"""Folder za bankarske izvode sa greškom""";"Poruka(""SETUP_MSG_FOLDER_BANKARSKE_IZVODE"")";"    SetLocalConfigValue ""BANKA_ERROR_PATH"", errorPath,"
modSetup.bas;246;"""Bankarski folderi su podešeni.""";"Poruka(""SETUP_MSG_BANKARSKI_FOLDERI_PODESENI"")";    MsgBox
modSetup.bas;251;"""Greška pri podešavanju bankarskih foldera: """;"Poruka(""SETUP_ERR_GRESKA_PRI_PODESAVANJU"")";"CONCAT: MsgBox ""Greška pri podešavanju bankarskih foldera: "" & Err.description, vbCritical, APP_NAME"
modSetup.bas;449;"""Folder za bankarske izvode sa greškom""";"Poruka(""SETUP_MSG_FOLDER_BANKARSKE_IZVODE"")";"CONCAT: errorPath = GetLocalConfigWithDefault(""BANKA_ERROR_PATH"", bankRoot & ""\Error"", ""Folder za bankarske "
modSetup.bas;523;"""- SEF_BASE_URL nije podešen.""";"Poruka(""SETUP_MSG_SEF_BASE_URL"")";"CONCAT: msg = msg & ""- SEF_BASE_URL nije podešen."" & vbCrLf"
modSetup.bas;527;"""- SEF_API_KEY nije podešen.""";"Poruka(""SETUP_MSG_SEF_API_KEY"")";"CONCAT: msg = msg & ""- SEF_API_KEY nije podešen."" & vbCrLf"
modSetup.bas;531;"""- SEF_ENV nije podešen.""";"Poruka(""SETUP_MSG_SEF_ENV_NIJE"")";"CONCAT: msg = msg & ""- SEF_ENV nije podešen."" & vbCrLf"
modSetup.bas;635;""" nije podešen: """;"Poruka(""SETUP_MSG_NIJE_PODESEN"")";"CONCAT: CheckFolderExists = ""- "" & labelText & "" nije podešen: "" & configKey & vbCrLf"
modStammdatenSync.bas;1638;"""Greška pri exportu parcela: """;"Poruka(""STM_ERR_GRESKA_PRI_EXPORTU"")";"CONCAT: MsgBox ""Greška pri exportu parcela: "" & Err.description, vbCritical, APP_NAME"
